"","trial","subject","ttype","run","gallery_left","gallery_right","art_left","art_right","stim_left","stim_right","val_left","val_right","rt","key_press","choice","chosen_val","chosen_gal","chosen_art","chosen_stim","unchosen_val","unchosen_gal","unchosen_art","unchosen_stim","chosen_val_grp","unchosen_val_grp"
"1",1,"29svyahw","learn_value","1","Cordelia","Cordelia","Mon","Mon","Monb2n.jpeg","Monb1n.jpeg",80,60,1506.84499996714,74,"Left",80,"Cordelia","Mon","Monb2n.jpeg",60,"Cordelia","Mon","Monb1n.jpeg","high","high"
"2",2,"29svyahw","learn_value","1","Cordelia","Cordelia","Mon","Mon","Mondb2.jpeg","Mondb3.jpeg",60,40,344.229999987874,74,"Left",60,"Cordelia","Mon","Mondb2.jpeg",40,"Cordelia","Mon","Mondb3.jpeg","high","high"
"3",3,"29svyahw","learn_value","1","Cordelia","Marina","Mon","Rot","Monb3n.jpeg","Rota1n.jpeg",60,20,370.174999989104,75,"Right",20,"Marina","Rot","Rota1n.jpeg",60,"Cordelia","Mon","Monb3n.jpeg","low","high"
"4",4,"29svyahw","learn_value","1","Marina","Marina","Rot","Rot","Rothb2.jpeg","Rota1n.jpeg",20,20,190.664999943692,74,"Left",20,"Marina","Rot","Rothb2.jpeg",20,"Marina","Rot","Rota1n.jpeg","low","low"
"5",5,"29svyahw","learn_value","1","Marina","Cordelia","Rot","Mon","Rothb2.jpeg","Monb2n.jpeg",20,80,1046.11500003375,75,"Right",80,"Cordelia","Mon","Monb2n.jpeg",20,"Marina","Rot","Rothb2.jpeg","high","low"
"6",6,"29svyahw","learn_value","1","Cordelia","Cordelia","Mon","Mon","Mona1n.jpeg","Monb1n.jpeg",80,60,389.719999977387,75,"Right",60,"Cordelia","Mon","Monb1n.jpeg",80,"Cordelia","Mon","Mona1n.jpeg","high","high"
"7",7,"29svyahw","learn_value","1","Marina","Marina","Rot","Rot","Rota1n.jpeg","Rotb1n.jpeg",20,40,560.754999984056,74,"Left",20,"Marina","Rot","Rota1n.jpeg",40,"Marina","Rot","Rotb1n.jpeg","low","low"
"8",8,"29svyahw","learn_value","1","Benedict","Marina","Roh","Rot","Roha1n.jpeg","Rotb1n.jpeg",60,40,320.565000001807,75,"Right",40,"Marina","Rot","Rotb1n.jpeg",60,"Benedict","Roh","Roha1n.jpeg","low","medium"
"9",9,"29svyahw","learn_value","1","Cordelia","Cordelia","Mon","Mon","Monb3n.jpeg","Monb1n.jpeg",60,60,287.5800000038,75,"Right",60,"Cordelia","Mon","Monb1n.jpeg",60,"Cordelia","Mon","Monb3n.jpeg","high","high"
"10",10,"29svyahw","learn_value","1","Cordelia","Cordelia","Mon","Mon","Mondb2.jpeg","Monb2n.jpeg",60,80,320.100000011735,75,"Right",80,"Cordelia","Mon","Monb2n.jpeg",60,"Cordelia","Mon","Mondb2.jpeg","high","high"
